住所,公示m2単価円,相続税路線価,地積m2,前面道路幅員m,建蔽率,容積率,交通距離m,lat,lon,位置精度,価格時点年,坪単価万円,用途地域,最寄交通施設,周辺利用状況
浜松市中央区将監町字二丁目24番17,103000.0,78000.0,241.0,6.0,60.0,200.0,3000.0,34.715042,137.755798,exact,2026,34.0,白地地域（都市計画区域内未指定）,浜松,一般住宅が多い区画整然とした住宅地域
浜松市中央区小池町字江原1603番1外,79700.0,63000.0,185.0,4.5,60.0,200.0,200.0,34.747826,137.758209,exact,2026,26.3,田園住居地域,自動車学校前,中小規模の一般住宅が多い私鉄沿線の住宅地域
浜松市中央区山下町字山下94番2,110500.0,87000.0,129.0,12.0,80.0,400.0,1500.0,34.716316,137.73053,exact,2026,36.5,第一種住居地域,浜松,店舗、事務所、住宅が建ち並ぶ近隣商業地域
浜松市中央区山手町37-3,166000.0,125000.0,377.0,8.0,60.0,200.0,3500.0,34.708199,137.705322,exact,2026,54.9,工業専用地域,浜松,中規模住宅が建ち並ぶ高台の閑静な住宅地域
浜松市中央区市野町字別所1953番3,65000.0,0.0,198.0,5.4,60.0,200.0,7100.0,34.748096,137.77211,exact,2026,21.5,指定なし（用途地域外）,浜松,一般住宅、農家住宅等が建ち並ぶ住宅地域
浜松市中央区市野町字場惣免1422番5,75250.0,57000.0,165.0,4.2,60.0,200.0,6900.0,34.748096,137.77211,exact,2026,24.9,白地地域（都市計画区域内未指定）,浜松,一般住宅、アパート等が見られる郊外の住宅地域
浜松市中央区布橋2-2-25,90750.0,72000.0,169.0,4.2,60.0,200.0,3000.0,34.719868,137.720322,exact,2026,30.0,白地地域（都市計画区域内未指定）,浜松,一般住宅が建ち並ぶ文教施設に近い既成住宅地域
浜松市中央区幸1-4-19,104000.0,82000.0,231.0,13.3,80.0,200.0,5200.0,34.739864,137.725037,exact,2026,34.4,第二種中高層住居専用地域,浜松,店舗併用住宅等が建ち並ぶ国道沿いの商業地域
浜松市中央区幸2-37-10,83000.0,65000.0,287.0,4.5,40.0,60.0,4400.0,34.739864,137.725037,exact,2026,27.4,準工業地域,浜松,中規模一般住宅が建ち並ぶ高台の閑静な住宅地域
浜松市中央区幸4-24-9,83100.0,66000.0,231.0,4.5,60.0,200.0,5300.0,34.739864,137.725037,exact,2026,27.5,工業専用地域,浜松,中規模一般住宅が建ち並ぶ郊外の住宅地域
浜松市中央区広沢2-43-32,147500.0,110000.0,324.0,5.4,60.0,200.0,3600.0,34.715424,137.717972,exact,2026,48.8,工業専用地域,浜松,中規模一般住宅が多い環境の良い住宅地域
浜松市中央区志都呂2-11-8,111000.0,87000.0,1958.0,27.0,80.0,200.0,8000.0,34.698349,137.660233,exact,2026,36.7,第二種中高層住居専用地域,浜松,大規模な小売店舗等が建ち並ぶ路線商業地域
